economy,time,Renewable energy consumption,Fossil fuel energy consumption,CO2 intensity,CO2 emissions (metric tons per capita),Other greenhouse gas emissions,HFC gas emissions,Methane emissions,Nitrous oxide emissions,PFC gas emissions,SF6 gas emissions,"Droughts, floods, extreme temperatures",Natural gas rents (% of GDP),GDP per capita (current US$),Mortality rate due to AP,Poverty gap at $3.20 a day,Multidimensional poverty headcount ratio
AFG,YR2001,54.0550003051758,,,0.0374878650392429,-1452.08533096313,,9360.0,3220.0,,,,,,,,
AFG,YR2002,43.7711982727051,,,0.0486708995010525,-1189.82818984985,,11190.0,3700.0,,,,0.0321245558043524,179.426579211394,,,
AFG,YR2003,42.2761001586914,,,0.0570080382600792,-1123.43363571167,,11480.0,3840.0,,,,0.0115705359126356,190.683814295088,,,
AFG,YR2004,49.8432006835938,,,0.0456996082249427,-1604.83601379395,,11460.0,3810.0,,,,0.0103895380484067,211.382074198939,,,
AFG,YR2005,40.8591995239258,,,0.0639269698296666,-1272.78789520264,,11670.0,3970.0,,,,0.0126381416579317,242.031313175022,,,
AFG,YR2006,37.1372985839844,,,0.0733929460601948,-1163.72897720337,,14890.0,4060.0,,,,0.0148917470496534,263.733601866274,,,
AFG,YR2007,33.8625984191895,,,0.0870831291861248,-381.266067504879,,18100.0,4250.0,,,,0.0155056628971892,359.693157866109,,,
AFG,YR2008,21.3437004089355,,,0.158356377673251,613.016979217529,,22170.0,4790.0,,,,0.0169940719018454,364.6635420423,,,
AFG,YR2009,17.8504009246826,,,0.211306250868557,1144.77175140381,,25430.0,5320.0,,,1.05929016894999,0.0114045372234545,437.26874023514,,,
AFG,YR2010,14.8990001678467,,,0.297065211570221,2581.59587478638,,30010.0,5990.0,,,,0.0343921556870659,543.306526178281,,,
AFG,YR2011,11.559100151062,,,0.407073503097594,5607.86002731323,,39480.0,6610.0,,,,0.067987611615379,591.190030208565,,,
AFG,YR2012,14.404899597168,,,0.335351023308404,3299.16196060181,,48780.0,7160.0,,,,0.0583788012581106,638.845851607289,,,
AFG,YR2013,17.1049995422363,,,0.263715760645502,714.056015014648,,58130.0,7720.0,,,,0.0431043064546898,624.315454506615,,,
AFG,YR2014,20.770299911499,,,0.234036914423758,-416.53784942627,,67770.0,8550.0,,,,0.0440778563089162,614.223342360392,,,
AFG,YR2015,20.2737998962402,,,0.232175631246749,-691.202514648438,,76590.0,8590.0,,,,0.0397543817211093,556.007220861443,,,
AFG,YR2016,24.7402992248535,,,0.208857195602366,-1800.00357818604,,78150.0,9120.0,,,,0.0286066618957396,512.012778129357,211.1,,51.7
AFG,YR2017,25.082799911499,,,0.20332756862023,,,79610.0,9450.0,,,,0.0305972755361812,516.679862210543,,,
AFG,YR2018,21.422700881958,,,0.200151071015376,,,81510.0,8960.0,,,,0.0425745832817803,485.668418729808,,,
AFG,YR2019,,,,,,,,,,,,0.0306807528024057,494.179349886029,,,
AFW,YR1970,,,,0.302643479896622,352152.39874672,,143714.5355,97903.620486,,,,,195.433564888654,,,
AFW,YR1971,,11.0983449980257,0.947964086253802,0.392109391076013,318598.958309103,,145309.3393,93716.362322,,,,0.000384848023550648,169.119100472264,,,
AFW,YR1972,,11.8989384288926,1.12103436753522,0.45999287014197,315458.331128987,,149181.1477,92133.991719,,,,0.00049474971726106,200.168407134048,,,
AFW,YR1973,,13.7636066030667,1.30092258457152,0.538522176233876,331985.493240436,,161770.8276,99025.117313,,,,0.000807088962307765,241.711430329646,,,
AFW,YR1974,,14.2270090740122,1.53755009001738,0.635965579894977,260832.401232241,,146860.2617,75307.952025,,,,0.00160822888505927,333.192493397619,,,
AFW,YR1975,,14.9545090363426,1.21737311902787,0.514018317684381,289022.703154105,,145799.6598,82953.585689,,,,0.0051924194477792,377.788046952202,,,
AFW,YR1976,,16.1928162437882,1.29158867854926,0.550024410790311,288489.056943363,,154139.518,86958.447944,,,,0.00556128155756765,444.374421151956,,,
AFW,YR1977,,18.1516807016116,1.17598918752388,0.516336767184566,342378.100967234,,166472.3378,103971.650727,,,,0.00750311280274606,454.790166433819,,,
AFW,YR1978,,19.7717886412145,1.13145247444433,0.508535707979551,302469.91782981,,152491.7936,88338.262222,,,,0.00814363529535655,482.477486200178,,,
AFW,YR1979,,19.8762109241812,1.45305595421909,0.648273151810273,332610.548165814,,176884.3183,98331.800577,,,,0.0179385924407826,584.373990532901,,,
AFW,YR1980,,20.8516241378672,1.40305412718645,0.634540785170757,390008.187590365,,194409.5238,122556.091579,,,,0.0100920153247872,718.691848126908,,,
AFW,YR1981,,21.9918613792304,1.31417109434749,0.604714169801265,333618.833545602,,166798.95,101671.748544,,,,0.00489341325989746,1316.93170404015,,,
AFW,YR1982,,23.1808883724345,1.3022898044498,0.599648542820184,383259.661572363,,180682.3433,118129.376736,,,,0.00098290336323212,1136.46243630013,,,
AFW,YR1983,,22.6339785445147,1.17362270276209,0.539567272388253,364055.97419972,,174269.8066,108903.280209,,,,0.00888884232662351,815.900740280563,,,
AFW,YR1984,,21.1920062956754,1.29940421231729,0.581373175919601,352539.326284196,,172234.0128,105583.049885,,,,0.0122040739157605,656.712783360308,,,
AFW,YR1985,,21.300721017835,1.30043323433307,0.583495477877941,325081.042428295,,164566.4507,95622.780606,,,,0.0129836028524434,651.510094102516,,,
AFW,YR1986,,20.4076324906104,1.22613311505673,0.543987567427204,326681.569830124,,168040.6171,97827.128358,,,,0.0165659439166662,584.907219262827,,,
AFW,YR1987,,21.0550673425391,1.01764474659768,0.474906022874627,349616.037947614,,172553.3452,104153.740914,,,,0.012565098808477,584.119205546599,,,
AFW,YR1988,,20.646041285941,1.16766851204526,0.534961929911926,314391.344297615,,167777.6017,97273.257527,,,,0.0119305851685746,561.36145852303,,,
AFW,YR1989,,21.1291817863549,0.879408696207723,0.414090443305729,344491.132394287,,186109.2289,108143.084786,,,,0.0185693411747205,510.419105485422,,,
AFW,YR1990,86.0822144145653,20.7361513515077,0.97239120678566,0.440470203040358,-5069.3573155254,,218010.0,88780.0,,,,0.0118767019487145,594.72600919977,,,
AFW,YR1991,85.4430140673391,21.5944825909438,1.03620084552368,0.474867700636726,-405.554745346368,,231260.0,92920.0,,,,0.0301297419301549,558.435680915393,,,
AFW,YR1992,83.9830706184425,22.4663308846145,1.1175761660869,0.516676903434888,3061.33682978146,,239050.0,94800.0,,,,0.0241441924393812,547.663092908291,,,
AFW,YR1993,85.3053067582307,21.9756782372025,1.12016937671539,0.518951548675793,8758.76984581352,,247670.0,97440.0,,,,0.0389885352282305,445.656206211034,,,
AFW,YR1994,86.7636671367989,18.6330932494615,1.10482364895178,0.492858479750043,5292.29715541001,,256810.0,158000.0,,,,0.0379758244914876,378.940492935927,,,
AFW,YR1995,86.3481985625118,18.597598055597,1.09239323832599,0.487494789894087,628.32053828243,,251710.0,159150.0,,,,0.0356774058068443,462.864808608456,,,
AFW,YR1996,85.2812559414211,20.0282537879083,1.11069039456201,0.507633495479665,-6522.24763864283,,250630.0,162380.0,,,,0.0434418178167431,523.763526573847,,,
AFW,YR1997,83.9479365569594,20.4124333530196,1.05924863342673,0.488415589155106,-9544.91919916868,,249960.0,164390.0,,,,0.0498097067559695,515.234581172978,,,
AFW,YR1998,84.640673496423,19.515881329111,1.00843623448926,0.461622319985949,-5909.88762751221,,250930.0,169940.0,,,,0.0344775386655532,513.64255070099,,,
AFW,YR1999,83.9002470682231,20.4992516268561,0.972215804870569,0.453548995521965,-7155.31707748772,,248020.0,170370.0,,,,0.0664960504591217,528.577393652426,,,
AFW,YR2000,83.23915972312,20.8568629413288,0.951019016010306,0.447243620092775,-13492.367625922,,250940.0,176820.0,,,,0.242281326591394,525.450342923443,,,
AFW,YR2001,81.9992634764941,21.9965404800643,0.994898643692471,0.47413968480147,-10610.0903111101,,253200.0,171520.0,,,,0.359721556819736,539.335724366342,,,
AFW,YR2002,81.6342051742121,22.2330951819879,0.980873844428102,0.474875185600127,1790.31502339243,,261970.0,173450.0,,,,0.265261371355258,627.773944464993,,,
AFW,YR2003,80.5603505989825,23.285903357397,0.953103513205732,0.47459226537591,-96.4669198095846,,277080.0,180970.0,,,,0.363655088466727,706.955063040869,,,
AFW,YR2004,81.1680498971543,22.5779787475038,0.968156953407103,0.474318246383295,6671.8590920865,,284470.0,180320.0,,,,0.348331778908393,854.506836384316,,,
AFW,YR2005,81.0702100123662,22.6761490939365,1.03129395263278,0.50945830203757,16313.8011240959,,299570.0,188710.0,,,,0.353190753042531,1016.47597797202,,,
AFW,YR2006,81.9026619144582,21.3347518801466,0.993298802235711,0.48795250954826,22860.6614878773,,301570.0,189080.0,,,,0.491756447345056,1252.59514686795,,,
