,economy,time,Renewable energy consumption,Fossil fuel energy consumption,CO2 intensity,CO2 emissions (metric tons per capita),Other greenhouse gas emissions,HFC gas emissions,Methane emissions,Nitrous oxide emissions,PFC gas emissions,SF6 gas emissions,"Droughts, floods, extreme temperatures",Natural gas rents (% of GDP),GDP per capita (current US$),Mortality rate due to AP,Poverty gap at $3.20 a day,Multidimensional poverty headcount ratio
335,AND,YR2006,17.568000793457,,,6.79054262608803,,,40.0,0.0,,,,,42674.7589681092,,,
336,AND,YR2007,16.5562992095947,,,6.53104666070003,,,50.0,0.0,,,,,47804.8499340211,,,
337,AND,YR2008,17.0212001800537,,,6.43930360124016,,,50.0,0.0,,,,,48719.6587699036,,,
338,AND,YR2009,17.1263008117676,,,6.15668770201632,,,50.0,0.0,,,,,43504.2156523202,,,
339,AND,YR2010,18.6709003448486,,,6.1571980012788,,,50.0,0.0,,,,,40850.2481432297,,,
340,AND,YR2011,18.5522003173828,,,5.85088599130725,,,50.0,0.0,,,,,43334.8114127088,,,
341,AND,YR2012,18.7628993988037,,,5.94465405752969,,,50.0,0.0,,,,,38686.4612635075,,,
342,AND,YR2013,19.141300201416,,,5.94280054475672,,,50.0,0.0,,,,,39540.7248137461,,,
343,AND,YR2014,19.4200992584229,,,5.8071276179415,,,50.0,0.0,,,,,41303.9293714464,,,
344,AND,YR2015,19.2777004241943,,,6.02618183683151,,,50.0,0.0,,,,,35770.7767044085,,,
345,AND,YR2016,19.2558002471924,,,6.08060029756129,,,50.0,0.0,,,,,37475.6350587526,,,
346,AND,YR2017,19.0631999969482,,,6.10413392729587,,,50.0,0.0,,,,,38964.904478265,,,
347,AND,YR2018,18.5060005187988,,,5.97340536048203,,,50.0,0.0,,,,,41791.9698372411,,,
379,ARB,YR2000,6.56727234373347,94.9938252828701,2.56780464985482,3.16330493711316,-62528.8645464491,,376760.0,95190.0,,,,0.801992911685226,2890.22767363068,,,
380,ARB,YR2001,6.42183998004049,95.1990238360382,2.53486392653805,3.28250948039699,-50429.2235086662,,382970.0,94960.0,,,,1.01396691358242,2768.5021026583,,,
381,ARB,YR2002,6.25625618015831,94.7807673193624,2.51816508528639,3.34722679774357,-59034.6914644874,,395300.0,98300.0,,,,0.860226485112525,2725.60975193031,,,
382,ARB,YR2003,6.35872164625474,95.1920229910336,2.54558270424354,3.36172777072511,-69191.4782686758,,405880.0,97600.0,,,,0.845365337675869,2948.6326231101,,,
383,ARB,YR2004,6.6802452148199,95.1913212103822,2.53212716738056,3.47423984595025,-38475.2710667068,,417240.0,101380.0,,,,0.832410474847923,3430.98290971819,,,
384,ARB,YR2005,6.32614023389305,95.1701452703744,2.60140860775753,3.70429792604365,-15198.4069413373,,429040.0,103400.0,,,,1.13854220765379,4120.84215652095,,,
385,ARB,YR2006,6.13715563463227,95.4492766145807,2.55550078180867,3.80164616101133,6822.38979115435,,434100.0,103810.0,,,,1.32946699813267,4754.76885405143,,,
386,ARB,YR2007,5.5561129384256,96.1258438420962,2.55952685488241,3.88313987385694,-133.115193843387,,442550.0,105960.0,,,,1.35044582459672,5418.13476273827,,,
387,ARB,YR2008,5.14495561393708,96.4667311060609,2.57389491617069,4.09353819549368,15370.9850310565,,447370.0,105840.0,,,,1.40735142164972,6661.48406818295,,,
388,ARB,YR2009,5.03535290474291,96.2159865409371,2.56615961159155,4.19327154821276,1529.83893654745,,452990.0,108420.0,,,,1.57292616871808,5695.8876755181,,,
389,ARB,YR2010,4.78607427533975,95.8911188066165,2.55572236083063,4.32200192749412,7008.09266745413,,456950.0,107800.0,,8828.25427273957,,1.2554345242285,6512.54155819275,,,
390,ARB,YR2011,4.65807365338787,94.9643872535256,2.59836420707332,4.30874050686413,15327.4793217818,,445680.0,110440.0,,,,1.84571425847479,6888.97941571698,,,
391,ARB,YR2012,4.24028972977531,95.0193294858905,2.57489131147332,4.51218940948461,57161.6906460933,,436210.0,111820.0,,,,1.90711173324079,7378.23188980297,,,
